symbol,category,PE_ratio,perc_high,perc_low,close_price,sma200,sma100,sma50,sma20,sma10,bollinger_signal,rsi_signal,stoch_signal,supertrend_signal
HDFCBANK,large,20.6,3.2409958423082723,,1964.7,1780.3610000000003,1828.6779999999999,1927.3569999999995,1941.8400000000001,1940.95,sell,hold,sell,probability to rise more
RELIANCE,large,24.56,11.231974142217807,,1466.2,1567.8122500000006,1317.042,1397.3310000000006,1431.8349999999998,1438.56,hold,hold,buy,probability to rise more
KOTAKBANK,large,22.61,7.411268951735519,,2169.8,1929.4657499999998,2059.1209999999987,2126.028,2105.0650000000005,2138.7400000000002,sell,hold,sell,trend change to lower bandprobability to rise more
BAJAJFINSV,large,18.09,7.962529274004685,,1986.2,1833.5935000000006,1934.4034999999997,2015.1659999999997,2000.3949999999998,1999.8899999999999,sell,hold,hold,probability to fall more
GRASIM,large,23.14,6.767439840152897,,2712.6,2589.984250000002,2578.1169999999997,2682.993,2629.5350000000008,2691.6,sell,hold,hold,probability to rise more
SHRIRAMFIN,large,15.04,10.94530768704224,,666.35,1727.916749999999,630.9439999999997,656.512,664.2225000000001,670.5550000000001,hold,hold,buy,probability to rise more
CIPLA,large,22.89,12.981404776592937,12.973782771535584,,,,,,,,,,
IOB,large,21.11,,11.492537313432841,37.22,47.467950000000016,41.1441,37.92,38.916000000000004,38.025,hold,hold,buy,probability to fall more
DRREDDY,large,19.39,7.26631914399679,,1325.3,2180.4860000000017,1199.6374999999998,1233.54,1301.6199999999997,1336.87,hold,hold,buy,probability to rise more
TORNTPOWER,large,22.9,,15.469041209360116,1390.1,1546.3327500000012,1415.7269999999996,1456.1970000000001,1404.8500000000001,1405.6399999999999,hold,hold,buy,probability to fall more
AUROPHARMA,large,18.13,,9.207920792079207,1097.2,1249.486,1155.4669999999999,1174.967,1142.17,1128.27,hold,hold,buy,probability to fall more
MUTHOOTFIN,large,19.55,3.329712723322974,,2606.4,2133.311,2256.4675,2263.1019999999994,2424.125,2603.7200000000003,sell,sell,sell,probability to rise more
ASHOKLEY,large,20.72,12.321934630644241,,235.15,222.44565000000003,221.23660000000007,231.65740000000002,236.98399999999998,235.754,sell,hold,hold,probability to rise more
UCOBANK,large,15.36,,13.502424468481914,29.95,39.82279999999998,34.299400000000006,31.341600000000003,32.105500000000006,31.342000000000002,hold,buy,buy,probability to fall more
ABCAPITAL,large,22.73,3.041825095057034,,260.28,196.89514999999992,193.05810000000005,217.7478,237.94850000000002,250.45299999999997,sell,sell,sell,probability to rise more
LTF,large,17.96,4.997463216641296,,190.05,155.92039999999994,159.8424000000001,175.09520000000003,183.76600000000002,189.586,sell,hold,sell,probability to rise more
M&MFIN,large,16.62,,14.557181196433195,,,,,,,,,,
